Date commande,Date livraison,Référence commande,Statut,NCDE
11/09/2025 14:05,12/09/2025,20525781,,
11/09/2025 13:05,12/09/2025,20306804,,
11/09/2025 12:03,12/09/2025,86152063,,
11/09/2025 11:08,12/09/2025,20466089,,
09/09/2025 09:43,10/09/2025,19217647,,
08/09/2025 09:57,07/09/2025,20113189,,
07/09/2025 21:11,08/09/2025,12879894,,
07/09/2025 20:55,08/09/2025,26560118,,
07/09/2025 20:53,08/09/2025,23376378,,
07/09/2025 19:00,08/09/2025,31581395,,
07/09/2025 18:51,08/09/2025,32050920,,
07/09/2025 18:37,08/09/2025,27307491,,
07/09/2025 12:56,08/09/2025,31601278,,
07/09/2025 10:42,08/09/2025,69117017,,
07/09/2025 08:29,08/09/2025,12432856,,
07/09/2025 08:23,08/09/2025,75061288,,
06/09/2025 14:14,09/09/2025,60634216,,
06/09/2025 13:54,09/09/2025,18222688,,
06/09/2025 12:41,09/09/2025,12394643,,
06/09/2025 10:42,07/09/2025,15012713,,
06/09/2025 09:51,07/09/2025,28483834,,
04/09/2025 16:12,05/09/2025,62809933,,
04/09/2025 16:08,05/09/2025,13620382,,
04/09/2025 09:14,05/09/2025,19909171,,
04/09/2025 07:24,05/09/2025,81133028,,
